state_name,year,ffs,assigned_lo,assigned_hi,n_suppressed,pen_lo,pen_hi
Utah,2018,210544.0,84702.0,90792.0,609,40.23007067406338,43.122577703472906
Vermont,2018,118996.0,1289.0,6889.0,560,1.0832296883928871,5.789270227570674
Virginia,2018,1046853.0,298571.0,342831.0,4426,28.52081428815698,32.74872403288714
Washington,2018,785400.0,181194.0,200004.0,1881,23.070282658517954,25.46524064171123
West Virginia,2018,276812.0,64619.0,77319.0,1270,23.34400242764042,27.931953817031054
Wisconsin,2018,608339.0,133052.0,154752.0,2170,21.87135791063864,25.43844797062164
Wyoming,2018,96156.0,3616.0,9866.0,625,3.7605557635508964,10.260410166812264
Alabama,2019,534585.0,134110.0,153230.0,1912,25.086749534685783,28.663355687121786
Alaska,2019,88343.0,6004.0,11774.0,577,6.79623739288908,13.327598111904734
Arizona,2019,681997.0,211969.0,226569.0,1460,31.080635252061224,33.221407132289436
Arkansas,2019,429494.0,154748.0,169528.0,1478,36.03030542917945,39.471564212771305
California,2019,2855978.0,347571.0,388641.0,4107,12.169946687264398,13.607982974658768
Colorado,2019,451034.0,68867.0,91867.0,2300,15.268693712669112,20.368087549940803
Connecticut,2019,332304.0,156248.0,164268.0,802,47.01959651403534,49.43304925610285
Delaware,2019,161453.0,82049.0,86219.0,417,50.819123831703344,53.40191882467344
District of Columbia,2019,58445.0,7932.0,9812.0,188,13.57173410899136,16.7884335700231
Florida,2019,2181847.0,764580.0,858000.0,9342,35.04278714318649,39.324480589152216
Georgia,2019,908154.0,346311.0,391171.0,4486,38.13351039581393,43.07320124119918
Hawaii,2019,110608.0,74.0,3124.0,305,0.06690293649645596,2.8243888326341673
Idaho,2019,198876.0,56081.0,63801.0,772,28.198978257808886,32.080794062631995
Illinois,2019,1426828.0,634768.0,666078.0,3131,44.48805322014987,46.68243123908418
Indiana,2019,777404.0,265459.0,293099.0,2764,34.14685285900253,37.702275779388835
Iowa,2019,450594.0,119049.0,134199.0,1515,26.420458328339926,29.782686853353574
Kansas,2019,400112.0,135367.0,148107.0,1274,33.832276962450514,37.01638541208462
Kentucky,2019,550717.0,165768.0,186648.0,2088,30.10039639233944,33.891817394414915
Louisiana,2019,474144.0,113066.0,126126.0,1306,23.846342039549167,26.60077951002227
Maine,2019,192176.0,100229.0,109109.0,888,52.15479560402964,56.775559903421865
Maryland,2019,783221.0,135119.0,154059.0,1894,17.251708010893477,19.66992713423159
Massachusetts,2019,864404.0,160988.0,175098.0,1411,18.62416185024595,20.25650043266806
Michigan,2019,1079571.0,393615.0,434165.0,4055,36.460316181149736,40.21643782576597
Minnesota,2019,481200.0,73805.0,89265.0,1546,15.337697423108894,18.550498753117207
Mississippi,2019,449193.0,190587.0,204817.0,1423,42.42875556831918,45.596658897177825
Missouri,2019,688601.0,198934.0,223244.0,2431,28.88958918154345,32.4199354923969
Montana,2019,172533.0,32736.0,40816.0,808,18.973761541270367,23.65692360302087
Nebraska,2019,264638.0,117570.0,126710.0,914,44.42672632048308,47.88050091067798
Nevada,2019,275807.0,83613.0,91003.0,739,30.315764284445283,32.99517416164202
New Hampshire,2019,214914.0,51317.0,59427.0,811,23.87792326232819,27.651525726569698
New Jersey,2019,957113.0,330728.0,352658.0,2193,34.5547495436798,36.84601504733506
New Mexico,2019,230484.0,34170.0,44500.0,1033,14.825324100588327,19.307197028861005
New York,2019,1741839.0,521195.0,568215.0,4702,29.922111056188317,32.621556871788954
North Carolina,2019,1137491.0,456716.0,503196.0,4648,40.15117482248211,44.23736099890021
North Dakota,2019,98296.0,9351.0,13921.0,457,9.513103279889314,14.162326035647432
Ohio,2019,1159406.0,414105.0,448815.0,3471,35.716996461981395,38.710770860250854
Oklahoma,2019,521189.0,159446.0,175026.0,1558,30.592740829142596,33.5820594832201
Oregon,2019,405865.0,28784.0,40764.0,1198,7.092013354194129,10.043733753834402
Pennsylvania,2019,1350464.0,556350.0,594420.0,3807,41.19695156627648,44.01598265485048
Rhode Island,2019,94595.0,29744.0,32984.0,324,31.443522384904064,34.868650562926156
South Carolina,2019,693025.0,282090.0,309050.0,2696,40.7041593016125,44.59435085314382
South Dakota,2019,127167.0,36066.0,45846.0,978,28.3611314256057,36.051805893038285
Tennessee,2019,725820.0,202140.0,236460.0,3432,27.849880135570803,32.57832520459618
Texas,2019,2147279.0,614703.0,688463.0,7376,28.6270670928184,32.06211209628558
Utah,2019,213274.0,84279.0,90059.0,578,39.51677185217139,42.22690060673125
Vermont,2019,119320.0,416.0,6016.0,560,0.3486423064029501,5.04190412336574
Virginia,2019,1041012.0,304583.0,346263.0,4168,29.258356291762247,33.26215259766458
Washington,2019,782986.0,197512.0,214202.0,1669,25.22548295882685,27.35706640987195
West Virginia,2019,265344.0,100138.0,110878.0,1074,37.738935118186205,41.78651109503136
Wisconsin,2019,595978.0,104822.0,125392.0,2057,17.58823312269916,21.039702807821765
Wyoming,2019,98890.0,4306.0,10476.0,617,4.354333097380929,10.593588836080494
